Track,"Start","Length","FadeIn",FadeOut","P1","P2","P3","P4","P5","P6","76","P8"
1,14.12,6.38,1.26,2.99,58,19,36,62,12,47,51,6
1,17.50,14.70,2.99,3.41,18,24,35,48,46,16,36,50
1,28.79,24.22,3.41,10.53,3,51,33,34,45,33,2,54
1,42.49,21.31,10.53,7.60,30,38,15,9,19,32,49,46
1,56.20,25.00,7.60,2.40,7,33,25,49,44,46,58,46
1,78.80,11.56,2.40,3.72,59,34,19,49,63,60,30,30
1,86.64,14.71,3.72,6.69,4,61,40,19,8,39,52,31
1,94.65,23.01,6.69,2.82,39,34,12,9,41,52,18,56
1,114.84,8.15,2.82,0.98,31,52,42,30,4,25,20,11
1,122.01,18.80,0.98,6.13,19,41,12,27,27,54,51,16
1,134.69,12.05,6.13,3.48,8,29,11,11,10,53,56,2
1,143.26,27.18,3.48,14.88,8,54,41,2,29,34,6,60
1,155.56,26.05,14.88,4.23,26,10,16,22,36,7,8,30
1,177.39,10.87,4.23,5.02,26,38,11,61,26,22,45,45
1,183.24,23.80,5.02,5.59,36,14,27,31,34,8,8,3
1,201.46,9.16,5.59,1.22,28,6,53,19,24,58,20,26
1,209.39,15.99,1.22,1.26,21,42,50,23,55,17,28,40
2,12.89,9.95,2.22,1.17,2,42,49,49,37,48,54,8
2,21.66,12.61,1.17,4.54,45,27,46,8,53,35,18,16
2,29.73,18.13,4.54,5.21,13,8,7,42,7,23,16,40
2,42.64,11.29,5.21,2.87,17,51,23,14,39,15,51,58
2,51.07,18.97,2.87,1.08,48,61,27,45,63,7,5,1
2,68.96,7.04,1.08,3.99,27,47,29,11,28,59,15,11
2,72.00,21.56,3.99,5.12,12,39,44,5,33,14,63,45
2,88.44,18.34,5.12,2.57,62,61,25,14,63,13,5,9
2,104.22,11.03,2.57,6.50,1,40,64,18,53,13,59,5
2,108.75,21.22,6.50,1.94,23,30,54,31,30,21,58,64
2,128.03,22.61,1.94,8.29,48,3,13,17,14,17,45,64
2,142.36,18.25,8.29,7.21,24,63,31,14,50,27,19,52
2,153.40,12.34,7.21,1.97,30,49,59,49,50,61,18,50
2,163.76,21.45,1.97,4.92,4,4,10,21,41,58,41,31
2,180.29,13.92,4.92,7.42,29,14,36,44,48,14,55,7
2,186.79,16.02,7.42,3.12,25,21,16,43,54,2,57,45
2,199.69,17.01,3.12,9.91,3,29,20,41,17,20,32,35
2,206.80,18.31,9.91,2.22,29,7,28,17,26,52,21,47
3,1.54,11.48,1.41,1.55,46,12,59,35,38,34,41,16
3,11.47,7.50,1.55,3.45,12,37,41,29,58,37,25,48
3,15.52,22.15,3.45,1.86,34,24,31,59,18,63,42,55
3,35.82,9.91,1.86,5.46,2,7,36,59,33,33,63,53
3,40.27,12.42,5.46,1.38,5,25,7,54,2,35,51,19
3,51.31,8.97,1.38,1.56,23,35,50,14,42,57,63,32
3,58.72,6.38,1.56,2.70,59,19,48,48,31,26,21,51
3,62.40,20.36,2.70,2.53,49,9,48,47,36,42,8,23
3,80.23,17.20,2.53,6.37,29,20,50,2,64,9,50,61
3,91.07,14.81,6.37,1.75,15,11,7,61,61,61,47,24
3,104.12,14.99,1.75,9.23,51,26,57,22,53,2,61,58
3,109.88,23.96,9.23,0.68,29,41,43,25,29,22,2,7
3,133.16,7.15,0.68,1.61,19,17,30,50,29,12,4,48
3,138.69,18.07,1.61,3.03,14,37,9,2,64,26,30,57
3,153.73,8.07,3.03,3.10,31,50,28,58,5,33,20,39
3,158.70,23.04,3.10,9.47,16,34,50,32,54,32,54,39
3,172.26,21.95,9.47,2.43,54,28,56,50,6,10,50,47
3,191.79,17.47,2.43,4.02,37,54,36,15,52,47,22,22
3,205.24,7.71,4.02,1.41,27,15,1,10,63,13,17,57
4,5.60,21.70,11.80,6.61,49,10,59,21,17,10,5,7
4,20.70,11.29,6.61,1.98,17,4,27,20,28,3,50,44
4,30.01,22.17,1.98,3.36,8,64,2,10,62,52,50,30
4,48.82,9.72,3.36,2.08,27,35,37,44,50,9,31,19
4,56.46,13.19,2.08,1.80,3,11,46,37,30,56,22,46
4,67.85,5.96,1.80,1.62,57,8,24,55,6,5,48,57
4,72.19,25.18,1.62,9.23,14,19,60,19,37,25,3,63
4,88.13,15.79,9.23,3.35,42,44,6,2,13,11,52,5
4,100.57,14.18,3.35,4.00,35,20,4,57,36,42,57,64
4,110.75,21.10,4.00,3.19,49,51,35,49,21,10,57,19
4,128.66,16.61,3.19,9.53,61,27,47,4,47,26,59,61
4,135.74,23.88,9.53,4.23,64,30,40,57,63,46,49,5
4,155.38,13.26,4.23,7.29,57,58,23,47,31,16,12,11
4,161.36,15.57,7.29,5.35,17,29,34,14,46,50,8,37
4,171.58,10.41,5.35,3.97,64,23,6,58,62,44,56,18
4,178.01,23.28,3.97,4.58,5,32,53,6,5,30,9,4
4,196.71,10.94,4.58,4.31,42,44,7,32,20,39,44,59
4,203.35,24.05,4.31,11.80,15,64,5,20,64,51,48,32
5,6.08,9.76,2.84,5.18,16,43,4,3,10,14,37,52
5,10.66,21.63,5.18,3.57,16,43,11,20,57,40,55,60
5,28.72,8.87,3.57,3.18,29,64,1,44,33,52,27,18
5,34.41,19.05,3.18,11.42,16,62,48,54,45,44,16,6
5,42.04,28.39,11.42,10.36,12,24,8,28,32,53,58,44
5,60.07,30.51,10.36,12.67,26,36,46,52,14,15,1,14
5,77.92,27.22,12.67,10.78,6,57,22,8,7,37,62,33
5,94.36,19.30,10.78,5.33,44,51,56,13,23,49,48,63
5,108.34,13.16,5.33,7.00,20,36,45,41,4,47,37,61
5,114.50,19.91,7.00,3.32,35,10,32,26,47,2,57,29
5,131.09,17.13,3.32,7.44,13,49,50,4,21,60,22,53
5,140.78,15.16,7.44,6.88,6,15,64,49,2,27,15,35
5,149.06,18.44,6.88,10.00,15,26,42,4,5,25,32,10
5,157.50,29.53,10.00,12.05,20,49,12,32,57,51,41,48
5,174.97,23.39,12.05,5.23,53,3,26,53,6,35,18,6
5,193.13,19.19,5.23,4.65,51,11,64,42,22,10,46,61
5,207.67,11.25,4.65,2.84,62,19,9,27,26,23,5,64
6,49.57,18.59,5.86,7.32,45,53,35,46,62,13,36,13
6,60.84,12.79,7.32,1.75,31,19,29,49,4,22,50,35
6,71.87,12.57,1.75,3.38,2,21,33,27,46,38,19,46
6,81.06,8.16,3.38,0.94,3,24,17,10,4,37,29,32
6,88.28,11.61,0.94,5.27,2,42,49,58,60,30,7,61
6,94.61,25.53,5.27,13.28,57,22,39,32,22,24,21,62
6,106.86,26.34,13.28,2.40,53,5,51,5,22,17,64,29
6,130.80,11.14,2.40,2.88,32,57,34,10,29,23,13,47
6,139.06,16.13,2.88,3.39,35,18,16,12,43,1,60,11
6,151.81,10.80,3.39,3.22,34,1,40,57,26,46,63,43
6,159.39,8.96,3.22,2.71,41,34,15,22,48,32,50,21
6,165.65,18.70,2.71,6.19,50,53,34,58,40,10,19,12
6,178.16,15.73,6.19,5.77,10,23,56,42,35,12,19,36
6,188.11,25.70,5.77,14.63,54,47,18,30,36,40,19,12
6,199.19,29.95,14.63,8.27,21,47,37,46,49,4,57,55
6,220.87,16.69,8.27,2.12,50,49,25,4,61,13,31,7
6,235.44,22.44,2.12,6.76,7,23,30,62,13,62,44,21
6,251.12,14.31,6.76,5.86,24,45,3,1,61,20,51,31
7,104.59,7.44,0.82,3.55,55,27,42,60,63,47,23,57
7,108.47,20.13,3.55,6.71,57,31,8,55,54,13,50,33
7,121.90,14.19,6.71,4.68,28,50,29,11,49,43,47,28
7,131.41,24.09,4.68,14.50,14,48,3,64,22,45,58,35
7,141.00,27.50,14.50,5.49,34,24,56,7,47,40,53,1
7,163.00,14.73,5.49,3.46,27,46,47,55,21,34,42,47
7,174.27,11.46,3.46,1.97,7,61,20,50,27,38,52,28
7,183.77,6.44,1.97,1.91,12,11,5,27,22,28,6,3
7,188.30,16.74,1.91,3.57,10,59,46,61,43,50,27,30
7,201.47,22.49,3.57,11.41,62,40,1,17,9,56,34,40
7,212.54,23.74,11.41,3.07,64,12,32,64,43,61,21,61
7,233.22,16.31,3.07,4.05,21,10,53,12,11,48,37,52
7,245.47,9.16,4.05,2.76,54,49,25,23,40,63,11,51
7,251.87,15.50,2.76,9.23,9,37,13,20,9,38,63,10
7,258.13,22.38,9.23,5.53,29,20,32,24,36,26,10,44
7,274.99,19.50,5.53,6.48,10,51,43,60,11,52,44,17
7,288.01,19.89,6.48,4.31,32,18,32,44,12,55,3,42
7,303.60,11.81,4.31,0.82,35,59,57,10,63,10,27,45
8,154.93,21.54,5.14,3.44,28,37,22,54,22,61,12,49
8,173.03,14.70,3.44,6.46,35,48,52,49,8,46,34,26
8,181.27,18.88,6.46,9.30,9,14,47,33,37,7,8,59
8,190.85,26.50,9.30,7.21,14,28,14,20,11,19,20,8
8,210.15,14.93,7.21,6.16,32,13,55,6,30,27,30,34
8,218.92,20.93,6.16,6.70,37,34,46,24,44,37,63,49
8,233.15,19.98,6.70,8.27,10,59,11,33,12,64,51,20
8,244.87,16.41,8.27,1.56,8,44,54,53,1,41,33,36
8,259.72,13.59,1.56,3.61,64,47,21,14,33,1,35,48
8,269.69,10.18,3.61,4.25,29,18,50,21,11,6,54,20
8,275.62,7.60,4.25,2.46,12,11,9,56,38,61,22,52
8,280.77,13.00,2.46,6.04,52,56,52,8,42,2,57,20
8,287.73,13.17,6.04,1.30,59,51,26,5,23,9,16,43
8,299.60,7.46,1.30,2.11,50,8,32,33,52,22,11,23
8,304.94,19.10,2.11,7.08,39,51,60,8,22,12,56,15
8,316.96,18.70,7.08,9.82,34,23,2,16,15,56,26,33
8,325.84,18.70,9.82,7.08,28,37,15,22,34,8,44,43
8,337.46,21.16,7.08,8.25,60,32,61,53,43,43,8,53
8,350.38,19.69,8.25,5.14,39,41,44,61,15,3,33,62
